Africa Disputed,Western Sahara
Africa France,Mayotte
Africa France,Reunion
Africa UK,Saint Helena
Africa,Algeria
Africa,Angola
Africa,Benin
Africa,Botswana
Africa,Burkina Faso
Africa,Burundi
Africa,Cabo Verde
Africa,Cameroon
Africa,Central African Republic
Africa,Chad
Africa,Comoros
Africa,Cote d'Ivoire
Africa,Democratic Republic of Congo
Africa,Djibouti
Africa,Egypt
Africa,Equatorial Guinea
Africa,Eritrea
Africa,Eswatini
Africa,Ethiopia
Africa,Gabon
Africa,Gambia
Africa,Ghana
Africa,Guinea
Africa,Guinea-Bissau
Africa,Kenya
Africa,Lesotho
Africa,Liberia
Africa,Libya
Africa,Madagascar
Africa,Malawi
Africa,Mali
Africa,Mauritania
Africa,Mauritius
Africa,Morocco
Africa,Mozambique
Africa,Namibia
Africa,Niger
Africa,Nigeria
Africa,Republic of Congo
Africa,Rwanda
Africa,Sao Tome and Principe
Africa,Senegal
Africa,Seychelles
Africa,Sierra Leone
Africa,Somalia
Africa,South Africa
Africa,South Sudan
Africa,Sudan
Africa,Tanzania
Africa,Togo
Africa,Tunisia
Africa,Uganda
Africa,Zambia
Africa,Zimbabwe
Antarctica,Antarctica
Asia China,Hong Kong
Asia China,Macao
Asia China,Taiwan
Asia UN Observer,Palestine
Asia,Afghanistan
Asia,Bahrain
Asia,Bangladesh
Asia,Bhutan
Asia,Brunei
Asia,Cambodia
Asia,China
Asia,India
Asia,Indonesia
Asia,Iran
Asia,Iraq
Asia,Israel
Asia,Japan
Asia,Jordan
Asia,Kuwait
Asia,Kyrgyzstan
Asia,Laos
Asia,Lebanon
Asia,Malaysia
Asia,Maldives
Asia,Mongolia
Asia,Myanmar
Asia,Nepal
Asia,North Korea
Asia,Oman
Asia,Pakistan
Asia,Philippines
Asia,Qatar
Asia,Saudi Arabia
Asia,Singapore
Asia,South Korea
Asia,Sri Lanka
Asia,Syria
Asia,Tajikistan
Asia,Thailand
Asia,Timor-Leste
Asia,Turkmenistan
Asia,United Arab Emirates
Asia,Uzbekistan
Asia,Vietnam
Asia,Yemen
Europe Asia,Armenia,Purple
Europe Asia,Azerbaijan,Green
Europe Asia,Cyprus,Red
Europe Asia,Georgia,Red
Europe Asia,Kazakhstan,Orange
Europe Asia,Russia,Yellow
Europe Asia,Turkey,Blue
Europe Denmark,Faroe Islands,Orange
Europe UK,Akrotiri,Yellow
Europe UK,Dhekelia,Green
Europe UK,Gibraltar,Green
Europe UK,Guernsey,Green
Europe UK,Isle of Man,Green
Europe UK,Jersey,Yellow
Europe UN Observer,Vatican City,Orange
Europe not UN,Kosovo,Yellow
Europe,Albania,Green
Europe,Andorra,Red
Europe,Austria,Purple
Europe,Belarus,Blue
Europe,Belgium,Purple
Europe,Bosnia and Herzegovina,Red
Europe,Bulgaria,Purple
